,author_id,username,name,author_location,text,created_at,retweets,replies,likes,quote_count
1530,1163272752,LilithNadiah,Lilith Nadiah,Left,RT @sa_vadorr: الى رمز الحرية والشجاعة،الى من جعلت نساء المنطقة يهتدون بنور الحرية حتى تبعوه، الى من وقفت شامخة امام الهجوم والرفض وحقارة ا…,2020-01-23 13:06:28+00:00,171,0,0,0
1531,969505499166269441,foufa77577545,𝘍𝘈𝘙𝘈𝘏,الشرقي,RT @sa_vadorr: كل صباح اغسل وجهي، واسرح شعري بأصابع يدي، وارتدي طبقات عديدة من الثياب، واخرج بكل بساطة، مثل هذا الأمر كان يعد مستحيلا سابقا…,2020-01-23 13:04:04+00:00,252,0,0,0
1532,397185587,_nflaa_,Nafla🌺,,@sa_vadorr تخللففففففف,2020-01-23 13:03:13+00:00,0,0,0,0
1533,1569987378,kuxwari,FK♥️.,🇬🇧,@sa_vadorr واذا البنت الي جيكو عليها تنرفزت،لاتتنرفزين من شغلهم واوامرهم تنرفزي من الي راحوا ب تصريح خروج من دون علم ذويهم 👍🏻,2020-01-23 13:03:11+00:00,0,0,2,0
1534,397185587,_nflaa_,Nafla🌺,,"RT @sa_vadorr: يا عيني!، الجديد الان انه عندما تسافر قطرية حتى مع ""تصريح سفر"" من ولي الامر، يطلبون منها الاتصال بأخوها أو ابوها لأثبات انها…",2020-01-23 13:02:39+00:00,77,0,0,0
1535,1569987378,kuxwari,FK♥️.,🇬🇧,"@sa_vadorr اولاً في رأي مؤيد ومعارض ف نفس الوقت،وانا عن نفسي اشوف انه صح يتصلون على ولي الامر دام في بنات يبوقون جواويل اهلهم ويسوون تصاريح خروج من دوم علم ولي امرها واعقب على كلمتج اخت عائشة ،اي ""تصريح سفر من ولي الامر"" الي ب الخش تقصدين ؟ من حقهم يجيكون.",2020-01-23 13:02:02+00:00,0,0,0,0
1536,310144292,SHAIKHAQ6R,ρяσυd тσ вε Qαтαяi🇶🇦,Qatar-USA,@sa_vadorr تبين تصيرين مشهورة 💔😬,2020-01-23 12:58:39+00:00,0,0,0,0
1537,182093211,iheartmahaw,Maha Al-Sayegh,Qatar,@sa_vadorr والله تلومينهم من سواد وجهكم انتي والمجانين الي معاج😂,2020-01-23 12:58:23+00:00,0,0,1,0
1538,961346214682943488,_sulaiman9,سليمان,عُمان,"@sa_vadorr المشكلة الوحيدة وخراب كل شيء 
معترف فيها عربياً كلمة ( عيب )
ما في غيرها تخليك تفكر ألف مرة !
تقول في نفسك هل العيب هو الغلط 
هنا نقع في ألف شك وبعدها نقول 
نعم نمشي على ما تعودنا عليه العيب 
قبل الغلط !! 

مجتمعنا مخيف جداً",2020-01-23 12:57:11+00:00,0,0,0,0
1539,286055963,Qais86,Qais قيس,الجوف - الرياض - الشرقية,"RT @sa_vadorr: يا عيني!، الجديد الان انه عندما تسافر قطرية حتى مع ""تصريح سفر"" من ولي الامر، يطلبون منها الاتصال بأخوها أو ابوها لأثبات انها…",2020-01-23 12:56:27+00:00,77,0,0,0
