,author_id,username,name,author_location,text,created_at,retweets,replies,likes,quote_count
108,1219928085082013697,Joory19822,Joory1982,,@noofalmaadeed حاولت اتعاطف والله حاولت بس ماقدرت ؛ كل ماحاولت اتعاطف تذكرت قصة الليسن,2021-10-16 12:11:01+00:00,0,0,0,0
109,1394740321955852295,sssgagaga1,sssgagaga,,@noofalmaadeed We are here for you,2021-10-16 11:50:20+00:00,0,0,0,0
110,1438097675073818624,8lOjwroc0ow9yaM,فاطمه,,@noofalmaadeed الله معك ✌🏼,2021-10-16 11:41:59+00:00,0,0,1,0
111,1360727730149601282,therefofo,fofo☽,My heart,RT @noofalmaadeed: @alsubaeym اهلي و الناس الي يصيرون لي يبون يذبحوني.,2021-10-16 11:29:08+00:00,31,0,0,0
112,1012402679061065728,ogeiin,جين,تكنسلت,RT @noofalmaadeed: hi. still not safe.,2021-10-16 10:40:21+00:00,61,0,0,0
113,790601729041661952,kh5xii_,☆,Kuwait,@noofalmaadeed بحفظ الله يارب,2021-10-16 09:36:31+00:00,0,0,0,0
114,1090649712489828354,HayekSouad,Souad Hayek,,@noofalmaadeed It’s been 2 days !! Where is Noof ???,2021-10-16 08:18:14+00:00,0,0,9,0
115,1229829973948669952,q9_q9_k,م,,@noofalmaadeed محد متهم سدي حلقك,2021-10-16 07:50:56+00:00,0,0,0,0
116,1396052869942550535,xamallxa,قنديل البحر,"Doha, Qatar",RT @noofalmaadeed: ثلاث مرات احاول اوصل للشيخ اني في خطر و ان الضابط مقصر بدون ما يحس و اكييد بدون ما يعرف ان هل تصير مووو هين ابدا لأنها م…,2021-10-16 07:19:08+00:00,20,0,0,0
117,3253992618,savvdi,سعد,,RT @noofalmaadeed: hi. still not safe.,2021-10-16 07:07:17+00:00,61,0,0,0
118,2777602843,alfarrsah,الفارسه,,@noofalmaadeed هالبنت احترمها اتابعها باليتيوب انسانه عاقله وتعتمد على نفسها وتحليلاتها وتوضيح وجهة نظرها ورجعته لبلادها واهلها دليل على رزانتها وعلاقتها باهلها وتواصلهم دليل انها فعلا بخير وامورها للافضل باذن الله,2021-10-16 04:06:59+00:00,0,0,1,0
119,2806335822,omarbinomran,عمر بن عمران,Kuwait Messila ,@noofalmaadeed يا رب تكونين بخير,2021-10-16 03:39:18+00:00,0,0,0,0
120,2806335822,omarbinomran,عمر بن عمران,Kuwait Messila ,RT @noofalmaadeed: ثلاث مرات احاول اوصل للشيخ اني في خطر و ان الضابط مقصر بدون ما يحس و اكييد بدون ما يعرف ان هل تصير مووو هين ابدا لأنها م…,2021-10-16 03:38:55+00:00,20,0,0,0
